#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/rodrigo/miniconda3/bin/metaphlan /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_94_S13_output/P21158_94_S13_humann_temp/tmpb4yv5p80/tmpdwy9w8i2 -t rel_ab -o /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_94_S13_output/P21158_94_S13_humann_temp/P21158_94_S13_metaphlan_bugs_list.tsv --input_type fastq --bowtie2out /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_94_S13_output/P21158_94_S13_humann_temp/P21158_94_S13_metaphlan_bowtie2.txt
#38044103 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Acetomicrobium|s__Acetomicrobium_SGB48802	2|508458|649775|649776|649777|49894|	0.05376	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Dysgonomonadaceae_unclassified|s__Dysgonamonadaceae_bacterium	2|976|200643|171549|2005520||2065189	0.02296	
k__Bacteria|p__Synergistetes|c__Synergistetes_unclassified|o__Synergistetes_unclassified|f__Synergistetes_unclassified|g__Synergistetes_unclassified|s__Synergistetes_bacterium_JGI_0000079_D21	2|508458|||||1104568	0.01396	
k__Bacteria|p__Planctomycetes|c__CFGB45191|o__OFGB45191|f__FGB45191|g__GGB45191|s__GGB45191_SGB62707	2|203682|||||	0.01111	
k__Bacteria|p__Atribacterota|c__CFGB8897|o__OFGB8897|f__FGB8897|g__GGB26668|s__GGB26668_SGB76493	2|67818|||||	0.00759	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Oenococcus|s__Oenococcus_oeni|t__SGB5611	2|1239|91061|186826|33958|46254|1247|	85.29137	
k__Bacteria|p__Candidatus_Cloacimonetes|c__Candidatus_Cloacimonetes_unclassified|o__Candidatus_Cloacimonetes_unclassified|f__Candidatus_Cloacimonetes_unclassified|g__Candidatus_Cloacimonas|s__Candidatus_Cloacimonas_acidaminovorans|t__SGB3762	2|456828||||456826|456827|	6.44929	k__Bacteria|p__Candidatus_Cloacimonetes|c__Candidatus_Cloacimonetes_unclassified|o__Candidatus_Cloacimonetes_unclassified|f__Candidatus_Cloacimonetes_unclassified|g__Candidatus_Cloacimonetes_unclassified|s__Cloacimonetes_bacterium_JGI_0000039_G13
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__GGB27285|s__GGB27285_SGB39523|t__SGB39523	2157|28890|224756|2191|2194|||	2.05	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanospirillum|s__Methanospirillum_hungatei|t__SGB145	2157|28890|224756|2191|196137|2202|2203|	1.13275	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanotrichales|f__Methanotrichaceae|g__GGB54100|s__GGB54100_SGB75290|t__SGB75290	2157|28890|224756|2905377|143067|||	1.0518	
k__Bacteria|p__Proteobacteria|c__CFGB8946|o__OFGB8946|f__FGB8946|g__GGB26731|s__GGB26731_SGB83492|t__SGB83492	2|1224||||||	0.90029	
k__Bacteria|p__Spirochaetes|c__CFGB42821|o__OFGB42821|f__FGB42821|g__GGB42821|s__GGB42821_SGB52415|t__SGB52415	2|203691||||||	0.61225	
k__Bacteria|p__Spirochaetes|c__CFGB8982|o__OFGB8982|f__FGB8982|g__GGB58357|s__GGB58357_SGB80008|t__SGB80008	2|203691||||||	0.56611	
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__GGB34841|s__GGB34841_SGB46577|t__SGB46577	2|200918|188708|2419|1643950|||	0.33215	
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__GGB24760|s__GGB24760_SGB46578|t__SGB46578	2|200918|188708|2419|1643950|||	0.32085	
k__Bacteria|p__Spirochaetes|c__CFGB42821|o__OFGB42821|f__FGB42821|g__GGB42821|s__GGB42821_SGB60031|t__SGB60031	2|203691||||||	0.31247	
k__Bacteria|p__Proteobacteria|c__CFGB43452|o__OFGB43452|f__FGB43452|g__GGB25803|s__GGB25803_SGB37788|t__SGB37788	2|1224||||||	0.22659	
k__Bacteria|p__Ignavibacteriae|c__CFGB41734|o__OFGB41734|f__FGB41734|g__GGB45669|s__GGB45669_SGB63385|t__SGB63385	2|1134404||||||	0.15656	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tenuifilaceae|g__GGB35116|s__GGB35116_SGB79359|t__SGB79359	2|976|200643|171549|2760872|||	0.11942	
k__Bacteria|p__Bacteroidetes|c__CFGB36012|o__OFGB36012|f__FGB36012|g__GGB35206|s__GGB35206_SGB49924|t__SGB49924	2|976||||||	0.10722	
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales|f__Kosmotogaceae|g__GGB24759|s__GGB24759_SGB24698|t__SGB24698	2|200918|188708|1643946|1643948|||	0.10312	
k__Bacteria|p__Firmicutes|c__CFGB8063|o__OFGB8063|f__FGB8063|g__GGB24947|s__GGB24947_SGB36860|t__SGB36860	2|1239||||||	0.07977	
k__Bacteria|p__Dictyoglomi|c__CFGB42234|o__OFGB42234|f__FGB42234|g__GGB42235|s__GGB42235_SGB59393|t__SGB59393	2|68297||||||	0.07859	
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Acetomicrobium|s__Acetomicrobium_SGB48802|t__SGB48802	2|508458|649775|649776|649777|49894||	0.05376	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Dysgonomonadaceae_unclassified|s__Dysgonamonadaceae_bacterium|t__SGB1995	2|976|200643|171549|2005520||2065189|	0.02296	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonadaceae_unclassified|s__Porphyromonadaceae_bacterium_SYSU_GA16107
k__Bacteria|p__Synergistetes|c__Synergistetes_unclassified|o__Synergistetes_unclassified|f__Synergistetes_unclassified|g__Synergistetes_unclassified|s__Synergistetes_bacterium_JGI_0000079_D21|t__SGB52069	2|508458|||||1104568|	0.01396	
k__Bacteria|p__Planctomycetes|c__CFGB45191|o__OFGB45191|f__FGB45191|g__GGB45191|s__GGB45191_SGB62707|t__SGB62707	2|203682||||||	0.01111	
k__Bacteria|p__Atribacterota|c__CFGB8897|o__OFGB8897|f__FGB8897|g__GGB26668|s__GGB26668_SGB76493|t__SGB76493	2|67818||||||	0.00759	
